,date_local,county_code,site_number,parameter,sample_duration,pollutant_standard,validity_indicator,arithmetic_mean,first_max_value,aqi,local_site_name,state
1458,6/3/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,15.5125,24.7,23,IS 52,New York
1460,6/2/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.65,34.3,32,IS 52,New York
1462,6/1/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.0375,32.8,30,IS 52,New York
1464,5/31/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,2.85,4.6,4,IS 52,New York
1466,5/30/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.058333,20.9,19,IS 52,New York
1468,5/29/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.820833,20.6,19,IS 52,New York
1470,5/28/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.329167,20.7,19,IS 52,New York
1472,5/27/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.320833,18.2,17,IS 52,New York
1474,5/26/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.645832999999998,31.5,29,IS 52,New York
1476,5/25/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.1,29.1,27,IS 52,New York
1478,5/24/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,5.2625,12.9,11,IS 52,New York
1479,5/23/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.008333,18.5,17,IS 52,New York
1481,5/22/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.279167,34.8,32,IS 52,New York
1484,5/21/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.666667,27.2,25,IS 52,New York
1486,5/20/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.920833,16.4,15,IS 52,New York
